Graph,Annealing strategy,Initial temperature,Annealing speed,Modification,Total swaps,Rounds to converge,Seconds to converge,Minimum edge cut
3elt.graph,EXPONENTIAL,3.5,0.9983,Original,1759783,1013,28,554
twitter.graph,EXPONENTIAL,3.5,0.9983,Original,173723,1010,226,40810
twitter.graph,EXPONENTIAL,20,0.997,Original,842655,1023,267,40811
3elt.graph,LINEAR,2,0.001,Original,3920214,1003,23,648
3elt.graph,LINEAR,2,0.004,Original,988296,258,8,1001
3elt.graph,LINEAR,2,0.019,Original,213486,124,3,1430
3elt.graph,LINEAR,5,0.001,Original,4665453,1029,24,2337
3elt.graph,LINEAR,5,0.004,Original,4350289,1007,25,598
3elt.graph,EXPONENTIAL,20,0.001,Original,7780,92,4,2303
3elt.graph,LINEAR,5,0.019,Original,923417,241,10,1052
3elt.graph,EXPONENTIAL,20,0.004,Original,7817,96,5,2326
3elt.graph,LINEAR,20,0.001,Original,4720504,1029,37,2114
3elt.graph,LINEAR,20,0.004,Original,4720504,1029,31,2114
3elt.graph,LINEAR,20,0.019,Original,4644280,1029,28,1156
add20.graph,LINEAR,2,0.001,Original,2032964,1003,19,1368
add20.graph,LINEAR,2,0.004,Original,510982,253,5,1381
add20.graph,LINEAR,2,0.019,Original,109972,59,2,1446
add20.graph,LINEAR,5,0.001,Original,2393998,1029,17,1877
add20.graph,LINEAR,5,0.004,Original,2273682,1003,17,1355
add20.graph,LINEAR,5,0.019,Original,480185,223,4,1446
add20.graph,LINEAR,20,0.001,Original,2395051,1024,17,1973
add20.graph,LINEAR,20,0.004,Original,2395170,1029,17,1759
add20.graph,LINEAR,20,0.019,Original,2370259,1015,19,1424
3elt.graph,EXPONENTIAL,20,0.997,Original,3628170,1029,39,720
3elt.graph,EXPONENTIAL,20,0.9984,Original,4555860,1029,35,2481
3elt.graph,EXPONENTIAL,20,0.9993,Original,4642936,1029,42,2470
3elt.graph,EXPONENTIAL,5,0.997,Original,1525170,878,26,638
3elt.graph,EXPONENTIAL,5,0.9984,Original,2821048,1029,32,682
3elt.graph,EXPONENTIAL,5,0.9993,Original,4111370,1029,45,2532
3elt.graph,EXPONENTIAL,2,0.997,Original,330727,590,18,632
3elt.graph,EXPONENTIAL,2,0.9984,Original,570466,982,33,533
3elt.graph,EXPONENTIAL,2,0.9993,Original,1263040,1029,37,556
add20.graph,EXPONENTIAL,20,0.997,Original,1747426,1019,24,1664
add20.graph,EXPONENTIAL,20,0.9984,Original,2103001,1028,21,1956
add20.graph,EXPONENTIAL,20,0.9993,Original,2223110,1026,24,2002
add20.graph,EXPONENTIAL,5,0.997,Original,841989,1013,23,1419
add20.graph,EXPONENTIAL,5,0.9984,Original,1393547,1029,24,1523
add20.graph,EXPONENTIAL,5,0.9993,Original,1775608,1029,26,1917
add20.graph,EXPONENTIAL,2,0.997,Original,317882,851,20,1402
add20.graph,EXPONENTIAL,2,0.9984,Original,597637,1013,24,1414
twitter.graph,LINEAR,2,0.001,Original,2487596,1003,529,40865
add20.graph,EXPONENTIAL,2,0.9993,Original,921620,1025,22,1492
twitter.graph,LINEAR,2,0.004,Original,629656,284,125,40905
twitter.graph,EXPONENTIAL,20,0.997,Original,845543,1016,440,40837
twitter.graph,LINEAR,2,0.019,Original,135828,88,39,40968
twitter.graph,EXPONENTIAL,20,0.9984,Original,1356906,1028,441,40882
twitter.graph,LINEAR,5,0.001,Original,2734577,1029,421,41408
twitter.graph,EXPONENTIAL,20,0.9993,Original,1709618,1029,424,41011
twitter.graph,LINEAR,5,0.004,Original,2681157,1026,377,40969
twitter.graph,EXPONENTIAL,5,0.997,Original,181680,990,384,40791
twitter.graph,LINEAR,5,0.019,Original,569360,274,107,41810
twitter.graph,EXPONENTIAL,5,0.9984,Original,329051,1019,388,40808
twitter.graph,LINEAR,20,0.001,Original,2734577,1029,471,41408
twitter.graph,EXPONENTIAL,5,0.9993,Original,563879,1029,662,40878
twitter.graph,LINEAR,20,0.004,Original,2734577,1029,668,41408
twitter.graph,EXPONENTIAL,2,0.997,Original,33999,698,377,40795
twitter.graph,LINEAR,20,0.019,Original,2726396,1029,531,41857
ws-250.graph,EXPONENTIAL,20,0.997,Original,169334,999,6,94
twitter.graph,EXPONENTIAL,2,0.9984,Original,66278,1003,496,40857
twitter.graph,EXPONENTIAL,2,0,9993,Original,106389,1016,362,40799
twitter.graph,EXPONENTIAL,20,0.997,Original,849168,1015,1040,40861
add20.graph,EXPONENTIAL,1,0.9,Original,40088,48,2,1812
add20.graph,EXPONENTIAL,1,0.99,Original,386721,369,9,1465
add20.graph,EXPONENTIAL,0.9,0.999,Original,2095258,1029,24,1900
add20.graph,EXPONENTIAL,0.9,0.99,Original,356829,385,9,1410
add20.graph,EXPONENTIAL,0.9,0.995,Original,715066,786,18,1381
add20.graph,EXPONENTIAL,0.9,0.996,Original,890241,919,20,1400
add20.graph,EXPONENTIAL,0.8,0.996,Original,827854,852,18,1368
add20.graph,EXPONENTIAL,0.7,0.996,Original,750940,895,18,1381
3elt.graph,EXPONENTIAL,0.7,0.996,Original,1693736,777,20,739
twitter.graph,EXPONENTIAL,0.7,0.996,Original,1380639,1020,268,40978
